Type,Title,Correct,Choice 1,Choice 2,Choice 3,Choice 4
MCQ,¿Cual de las siguientes afirmaciones es correcta?,1,Un ingeniero colegiado puede redactar y firmar proyectos de ingenieria de su ambito,Un ingeniero de telecomunicaciones no tiene entre sus aptitudes el desarrollo de proyectos de infrestructura,Un proyecto de I+D+i tiene que estar desarrollado en una universidad o instituto de investigación,Los trabajos de consultoria son una parte intrínseca de los proyectos internos de oficina técnica
MCQ,"Según la Ley 2/1964, ¿cuál de las siguientes es una atribución profesional de los Ingenieros de Telecomunicación?",1,"La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero",La redacción de proyectos integrales de edificación urbana destinados al uso principal de viviendas residenciales,La gestión administrativa de los expedientes de contratación pública para la adquisición de equipos médicos especializados,La inspección técnica de las instalaciones eléctricas de alta tensión en el sector de la gran industria metalúrgica
MCQ,¿Cuál es la función principal del Jefe del Proyecto según las partes que intervienen en un proyecto?,1,Es el responsable de asegurar que se cumplan los objetivos establecidos,Es el equipo encargado de realizar las tareas técnicas de ejecución,Es el individuo que solicita formalmente la ejecución del proyecto,Es el proveedor externo que suministra los recursos materiales necesarios
MCQ,"En relación a las fases de un proyecto, ¿cual de las siguientes puede estar contemplada tanto en el anteproyecto como en la propia ejecución del proyecto?",4,Cierre,Validación,Viabilidad,Planificación
MCQ,"En el contexto de la caracterización de proyectos externos y oportunidades de negocio, ¿qué significan las siglas RFP?",4,Resources For Projects,Ready For Production,Request For Planning,Request For Proposals
MCQ,"De acuerdo con el Manual de Frascati, ¿cómo se define la 'Investigación aplicada'?",4,Trabajo sistemático basado en conocimientos previos orientado a la fabricación de nuevos materiales o productos,Actividad creativa y sistemática para incrementar el volumen de conocimientos y el uso de estos para nuevas aplicaciones,Trabajo experimental para obtener nuevos conocimientos sin una aplicación o uso determinado a la vista,Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico
MCQ,¿Qué actividades principales comprende la fase de 'Anteproyecto' dentro del ciclo de vida de un proyecto industrial?,3,"Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar","Ejecución de tareas, verificación de calidad, validación de procesos y control de costes","Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones","Documentación técnica, gestión de entregas, balance del proyecto y justificación de gastos"
MCQ,¿Cuál es la diferencia fundamental entre las actividades de 'Producción' y las de 'Proyectos' en el ámbito industrial?,1,"La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos","La producción se organiza mediante estructuras temporales, mientras que el proyecto depende de áreas funcionales fijas","La producción requiere procesos flexibles de corta duración, mientras que el proyecto se basa en la estabilidad temporal","La producción es una actividad discontinua y única, mientras que el proyecto es repetitivo y se mantiene indefinidamente"
MCQ,¿Cuáles son las tres fases principales descritas para 'La oferta' en un proyecto externo?,2,"Solicitud de propuestas externas, Pliego de condiciones técnicas y Gestión de facturación","Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta","Identificación de riesgos del proyecto, Ejecución de actividades y Cierre administrativo","Estudio previo de mercado, Diseño técnico del producto y Proceso de fabricación"
MCQ,¿Cómo define el Project Management Institute (PMI) el concepto de proyecto?,1,"Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único",Es un conjunto coordinado de tareas permanentes diseñadas para mejorar la eficiencia de la producción,Es una serie de actividades recurrentes con una duración indefinida que optimizan procesos operativos,Es un trabajo continuo y repetitivo que realiza un área funcional para mantener la operación del negocio
