question_id	source_material	image_reference	generated_text	generated_answers_json	generated_eval_difficulty	generated_eval_pedagogy	generated_eval_clarity	generated_eval_distractors	generated_eval_comments	generated_eval_guessed_correctly	generated_eval_model	reviewed_text	reviewed_answers_json	reviewed_eval_difficulty	reviewed_eval_pedagogy	reviewed_eval_clarity	reviewed_eval_distractors	reviewed_eval_comments	reviewed_eval_guessed_correctly	reviewed_eval_model	final_text	final_answers_json	changes_gen_rev_status	changes_gen_rev_lev_question	changes_gen_rev_lev_answers	changes_gen_rev_rel_lev_question	changes_gen_rev_rel_lev_answers	changes_rev_man_status	changes_rev_man_lev_question	changes_rev_man_lev_answers	changes_rev_man_rel_lev_question	changes_rev_man_rel_lev_answers	stats_total_answers	stats_answer_distribution
GP_Tema1_67846109	GP_Tema1.pptx		Según la definición del Project Management Institute (PMI), ¿qué es un proyecto?	"{""correct"": ""Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único."", ""distractors"": [""Es un conjunto de escritos, cálculos y dibujos que se hacen para dar idea de cómo ha de ser una obra."", ""Es un trabajo continuo y repetitivo que realiza un área funcional de la empresa para mantener la producción."", ""Es una planta y disposición que se forma para la realización de un tratado sin límite de tiempo.""], ""explanation"": ""El PMI define proyecto como un esfuerzo temporal encaminado a crear un producto o servicio único (Slide 4).""}"	0.3	0.9	1.0	0.7	La pregunta evalúa de manera clara un concepto fundamental del PMI, empleando un lenguaje técnico preciso y distractores que contrastan bien con las operaciones continuas.	True	openrouter::google/gemini-3-flash-preview	¿Cómo define el Project Management Institute (PMI) el concepto de proyecto?	"{""correct"": ""Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único"", ""distractors"": [""Es un conjunto coordinado de tareas permanentes diseñadas para mejorar la eficiencia de la producción"", ""Es un trabajo continuo y repetitivo que realiza un área funcional para mantener la operación del negocio"", ""Es una serie de actividades recurrentes con una duración indefinida que optimizan procesos operativos""], ""explanation"": """"}"	0.3	0.9	1.0	0.8	La pregunta es clara y fundamental para la gestión de proyectos, utilizando distractores bien diseñados que contrastan efectivamente el concepto de proyecto frente al de operación continua.	True	openrouter::google/gemini-3-flash-preview	¿Cómo define el Project Management Institute (PMI) el concepto de proyecto?	"{""correct"": ""Es un esfuerzo temporal que se acomete para crear un producto, servicio o resultado de carácter único"", ""distractors"": [""Es un conjunto coordinado de tareas permanentes diseñadas para mejorar la eficiencia de la producción"", ""Es un trabajo continuo y repetitivo que realiza un área funcional para mantener la operación del negocio"", ""Es una serie de actividades recurrentes con una duración indefinida que optimizan procesos operativos""], ""explanation"": """"}"	modified	27	173	0.3375	0.4220	unchanged	0	0	0.0000	0.0000		
GP_Tema1_84617010	GP_Tema1.pptx		¿Cuál es la diferencia fundamental entre las actividades de 'Producción' y las de 'Proyectos' en el ámbito industrial?	"{""correct"": ""La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos."", ""distractors"": [""La producción es discontinua y única, mientras que el proyecto es repetitivo y continuo."", ""La producción no requiere planificación, mientras que el proyecto sí requiere una inversión inicial."", ""Los proyectos son siempre realizados por áreas funcionales permanentes, mientras que la producción es temporal.""], ""explanation"": ""Las actividades de producción son continuas y repetitivas, mientras que los proyectos son actividades discontinuas de duración determinada (Slide 7).""}"	0.3	0.9	1.0	0.6	La pregunta evalúa correctamente la distinción fundamental entre procesos continuos y proyectos, con opciones claras y bien diferenciadas.	True	openrouter::google/gemini-3-flash-preview	¿Cuál es la diferencia fundamental entre las actividades de 'Producción' y las de 'Proyectos' en el ámbito industrial?	"{""correct"": ""La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos"", ""distractors"": [""La producción es una actividad discontinua y única, mientras que el proyecto es repetitivo y se mantiene indefinidamente"", ""La producción requiere procesos flexibles de corta duración, mientras que el proyecto se basa en la estabilidad temporal"", ""La producción se organiza mediante estructuras temporales, mientras que el proyecto depende de áreas funcionales fijas""], ""explanation"": """"}"	0.3	0.8	1.0	0.7	La pregunta evalúa conceptos fundamentales de gestión industrial con opciones claras y distractores que invierten correctamente los términos para verificar la comprensión del estudiante.	True	openrouter::google/gemini-3-flash-preview	¿Cuál es la diferencia fundamental entre las actividades de 'Producción' y las de 'Proyectos' en el ámbito industrial?	"{""correct"": ""La producción es una actividad continua y repetitiva, mientras que el proyecto es discontinuo y finaliza al alcanzar los objetivos"", ""distractors"": [""La producción es una actividad discontinua y única, mientras que el proyecto es repetitivo y se mantiene indefinidamente"", ""La producción requiere procesos flexibles de corta duración, mientras que el proyecto se basa en la estabilidad temporal"", ""La producción se organiza mediante estructuras temporales, mientras que el proyecto depende de áreas funcionales fijas""], ""explanation"": """"}"	modified	0	172	0.0000	0.3972	unchanged	0	0	0.0000	0.0000		
GP_Tema1_53536913	GP_Tema1.pptx		Según la norma UNE 157.001 citada en el contexto, ¿cuál de los siguientes documentos NO forma parte de los documentos generales de un proyecto?	"{""correct"": ""Catálogo comercial."", ""distractors"": [""Memoria."", ""Pliego de Condiciones."", ""Planos.""], ""explanation"": ""La norma UNE 157.001 lista como documentos generales: Índice General, Memoria, Planos, Pliego de Condiciones, Estado de Mediciones, Presupuesto, Estudios con Entidad Propia y Anexos (Slide 24).""}"	0.4	0.8	1.0	0.7	The question effectively tests specific regulatory knowledge (UNE 157001) with logical distractors that are indeed part of a standard project documentation.		openrouter::google/gemini-3-flash-preview	Según la norma UNE 157.001, ¿cuál de los siguientes documentos NO se clasifica como un documento general de un proyecto?	"{""correct"": ""Catálogo comercial"", ""distractors"": [""Memoria"", ""Pliego de condiciones"", ""Estado de mediciones""], ""explanation"": """"}"	0.4	0.8	1.0	0.85	La pregunta evalúa correctamente el conocimiento sobre la norma UNE 157.001 utilizando distractores que son documentos técnicos reales, diferenciándolos claramente de un documento de marketing.	True	openrouter::google/gemini-3-flash-preview			modified	43	22	0.3007	0.3729	removed	0	0	0.0000	0.0000		
GP_Tema1_21347564	GP_Tema1.pptx		En el contexto de la caracterización de proyectos externos y oportunidades de negocio, ¿qué significan las siglas RFP?	"{""correct"": ""Request For Proposals."", ""distractors"": [""Ready For Production."", ""Request For Planning."", ""Resources For Projects.""], ""explanation"": ""RFP son las siglas de Request For Proposals, utilizadas en la captación de oportunidades de negocio (Slide 20).""}"	0.3	0.6	1.0	0.7	Se trata de una pregunta de terminología técnica estándar en gestión de proyectos con distractores que utilizan palabras clave plausibles del área.	True	openrouter::google/gemini-3-flash-preview	En el contexto de la caracterización de proyectos externos y oportunidades de negocio, ¿qué significan las siglas RFP?	"{""correct"": ""Request For Proposals"", ""distractors"": [""Ready For Production"", ""Request For Planning"", ""Resources For Projects""], ""explanation"": """"}"	0.3	0.7	1.0	0.6	La pregunta es clara y evalua correctamente un termino fundamental en la gestion de proyectos, aunque los distractores son algo genericos.	True	openrouter::google/gemini-3-flash-preview	En el contexto de la caracterización de proyectos externos y oportunidades de negocio, ¿qué significan las siglas RFP?	"{""correct"": ""Request For Proposals"", ""distractors"": [""Ready For Production"", ""Request For Planning"", ""Resources For Projects""], ""explanation"": """"}"	modified	0	4	0.0000	0.0444	unchanged	0	0	0.0000	0.0000		
GP_Tema1_24059242	GP_Tema1.pptx		De acuerdo con el Manual de Frascati, ¿cómo se define la 'Investigación aplicada'?	"{""correct"": ""Investigación original para adquirir nuevos conocimientos, dirigida ante todo a un propósito práctico específico."", ""distractors"": [""Trabajo experimental asumido para adquirir nuevos conocimientos sin una aplicación particular o uso a la vista."", ""Trabajo sistemático basado en conocimientos existentes dirigido a la producción de nuevos materiales o productos."", ""Adopción de métodos de producción tecnológicamente nuevos o mejorados significativamente.""], ""explanation"": ""La investigación aplicada busca nuevos conocimientos pero con un propósito práctico específico, a diferencia de la básica (sin aplicación a la vista) o el desarrollo experimental (Slide 27).""}"	0.5	0.9	1.0	0.8	La pregunta es clara y evalúa correctamente las distinciones técnicas del Manual de Frascati usando distractores que representan otras categorías de I+D.	True	openrouter::google/gemini-3-flash-preview	De acuerdo con el Manual de Frascati, ¿cómo se define la 'Investigación aplicada'?	"{""correct"": ""Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico"", ""distractors"": [""Trabajo experimental para obtener nuevos conocimientos sin una aplicación o uso determinado a la vista"", ""Trabajo sistemático basado en conocimientos previos orientado a la fabricación de nuevos materiales o productos"", ""Actividad creativa y sistemática para incrementar el volumen de conocimientos y el uso de estos para nuevas aplicaciones""], ""explanation"": """"}"	0.6	0.9	1.0	0.85	La pregunta es excelente porque utiliza las definiciones técnicas exactas del Manual de Frascati como distractores, diferenciando eficazmente entre investigación básica, aplicada y desarrollo experimental.	True	openrouter::google/gemini-3-flash-preview	De acuerdo con el Manual de Frascati, ¿cómo se define la 'Investigación aplicada'?	"{""correct"": ""Investigación original para adquirir nuevos conocimientos dirigida hacia un objetivo práctico específico"", ""distractors"": [""Trabajo experimental para obtener nuevos conocimientos sin una aplicación o uso determinado a la vista"", ""Trabajo sistemático basado en conocimientos previos orientado a la fabricación de nuevos materiales o productos"", ""Actividad creativa y sistemática para incrementar el volumen de conocimientos y el uso de estos para nuevas aplicaciones""], ""explanation"": """"}"	modified	0	159	0.0000	0.3706	unchanged	0	0	0.0000	0.0000		
GP_Tema1_60316651	GP_Tema1.pptx		¿Cuál es la intensidad máxima de ayuda para la 'investigación industrial' según los datos de financiación presentados?	"{""correct"": ""50 %."", ""distractors"": [""100 %."", ""25 %."", ""75 %.""], ""explanation"": ""Las intensidades máximas de ayuda indicadas son: investigación fundamental (100%), investigación industrial (50%) y desarrollo experimental (25%) (Slide 30).""}"	0.4	0.8	1.0	0.7	La pregunta es clara y evalúa conocimientos específicos sobre la intensidad de ayudas pùblicas para la innovación, utilizando distractores numéricos plausibles.	True	openrouter::google/gemini-3-flash-preview	¿Cuál es la intensidad máxima de ayuda para la 'investigación industrial' según los datos de financiación presentados?	"{""correct"": ""50 %"", ""distractors"": [""100 %"", ""25 %"", ""75 %""], ""explanation"": """"}"	0.4	0.7	0.9	0.6	La pregunta evalúa correctamente un dato técnico específico de normativas de I+D, aunque su dificultad depende de haber consultado previamente el marco legal de ayudas.		openrouter::google/gemini-3-flash-preview			modified	0	4	0.0000	0.1667	removed	0	0	0.0000	0.0000		
GP_Tema1_69117709	GP_Tema1.pptx		¿Cuáles son las tres fases principales descritas para 'La oferta' en un proyecto externo?	"{""correct"": ""Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta."", ""distractors"": [""Identificación de riesgos, Ejecución del proyecto y Cierre del contrato."", ""Estudio de mercado, Diseño del producto y Fabricación."", ""Solicitud de propuestas, Pliego de condiciones y Facturación.""], ""explanation"": ""El proceso de la oferta se divide en Fase 1: Análisis y elaboración, Fase 2: Presentación y Fase 3: Negociación (Slide 22).""}"	0.4	0.8	1.0	0.7	The question clearly assesses the specific terminology and logical sequence of the bidding phase in a project management context.	True	openrouter::google/gemini-3-flash-preview	¿Cuáles son las tres fases principales descritas para 'La oferta' en un proyecto externo?	"{""correct"": ""Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta"", ""distractors"": [""Identificación de riesgos del proyecto, Ejecución de actividades y Cierre administrativo"", ""Estudio previo de mercado, Diseño técnico del producto y Proceso de fabricación"", ""Solicitud de propuestas externas, Pliego de condiciones técnicas y Gestión de facturación""], ""explanation"": """"}"	0.45	0.8	1.0	0.7	This question clearly tests specific project management phases with plausible distractors that relate to other stages of a project life cycle.	True	openrouter::google/gemini-3-flash-preview	¿Cuáles son las tres fases principales descritas para 'La oferta' en un proyecto externo?	"{""correct"": ""Análisis y elaboración de la oferta, Presentación de la oferta y Negociación de la oferta"", ""distractors"": [""Identificación de riesgos del proyecto, Ejecución de actividades y Cierre administrativo"", ""Estudio previo de mercado, Diseño técnico del producto y Proceso de fabricación"", ""Solicitud de propuestas externas, Pliego de condiciones técnicas y Gestión de facturación""], ""explanation"": """"}"	modified	0	95	0.0000	0.3393	unchanged	0	0	0.0000	0.0000		
GP_Tema1_81252260	GP_Tema1.pptx		¿Cuál es la función principal del 'Jefe del Proyecto' según las partes que intervienen en un proyecto?	"{""correct"": ""Es la persona que deberá hacer cumplir los objetivos del proyecto."", ""distractors"": [""Es la entidad o individuo que solicita la realización del proyecto."", ""Es el conjunto de personas responsables de la ejecución técnica del proyecto."", ""Es el agente externo que suministra los medios materiales o servicios.""], ""explanation"": ""El Jefe del Proyecto se define como la persona que deberá hacer cumplir los objetivos del proyecto (Slide 12).""}"	0.35	0.8	1.0	0.75	La pregunta es clara y utiliza distractores bien definidos que corresponden a otros roles dentro de la gestión de proyectos, como el cliente o el equipo técnico.	True	openrouter::google/gemini-3-flash-preview	¿Cuál es la función principal del Jefe del Proyecto según las partes que intervienen en un proyecto?	"{""correct"": ""Es el responsable de asegurar que se cumplan los objetivos establecidos"", ""distractors"": [""Es el individuo que solicita formalmente la ejecución del proyecto"", ""Es el equipo encargado de realizar las tareas técnicas de ejecución"", ""Es el proveedor externo que suministra los recursos materiales necesarios""], ""explanation"": """"}"	0.3	0.8	1.0	0.7	La pregunta es clara y evalúa correctamente el rol del Jefe de Proyecto, con distractores que representan roles reales como el cliente o el equipo técnico.	True	openrouter::google/gemini-3-flash-preview	¿Cuál es la función principal del Jefe del Proyecto según las partes que intervienen en un proyecto?	"{""correct"": ""Es el responsable de asegurar que se cumplan los objetivos establecidos"", ""distractors"": [""Es el individuo que solicita formalmente la ejecución del proyecto"", ""Es el equipo encargado de realizar las tareas técnicas de ejecución"", ""Es el proveedor externo que suministra los recursos materiales necesarios""], ""explanation"": """"}"	modified	2	131	0.0196	0.4629	unchanged	0	0	0.0000	0.0000		
GP_Tema1_39895372	GP_Tema1.pptx		¿Qué actividades principales comprende la fase de 'Anteproyecto' dentro del ciclo de vida de un proyecto industrial?	"{""correct"": ""Análisis de viabilidad, evaluación de riesgos, plan de contingencias y toma de decisión."", ""distractors"": [""Ejecución, verificación, validación y control."", ""Documentación, entregas, balance del proyecto y justificación de gastos."", ""Idea, oferta y estudios preliminares del estado del arte.""], ""explanation"": ""En la fase de Anteproyecto se realizan el análisis de viabilidad, evaluación de riesgos, plan de contingencias y la toma de decisión para pasar al Proyecto (Slides 36-38).""}"	0.45	0.9	1.0	0.75	La pregunta es clara y evalúa correctamente etapas críticas de la gestión de proyectos industriales con distractores que representan otras fases del ciclo de vida.	True	openrouter::google/gemini-3-flash-preview	¿Qué actividades principales comprende la fase de 'Anteproyecto' dentro del ciclo de vida de un proyecto industrial?	"{""correct"": ""Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones"", ""distractors"": [""Ejecución de tareas, verificación de calidad, validación de procesos y control de costes"", ""Documentación técnica, gestión de entregas, balance del proyecto y justificación de gastos"", ""Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar""], ""explanation"": """"}"	0.65	0.8	0.85	0.75	La pregunta evalúa correctamente las fases iniciales de un proyecto industrial, aunque la distinción con la opción sobre identificación de la idea requiere una buena base teórica.	True	openrouter::google/gemini-3-flash-preview	¿Qué actividades principales comprende la fase de 'Anteproyecto' dentro del ciclo de vida de un proyecto industrial?	"{""correct"": ""Análisis de viabilidad, evaluación de riesgos, plan de contingencia y toma de decisiones"", ""distractors"": [""Ejecución de tareas, verificación de calidad, validación de procesos y control de costes"", ""Documentación técnica, gestión de entregas, balance del proyecto y justificación de gastos"", ""Identificación de la idea, estudio del estado del arte, oferta técnica y diseño preliminar""], ""explanation"": """"}"	modified	0	128	0.0000	0.4812	unchanged	0	0	0.0000	0.0000		
GP_Tema1_38921614	GP_Tema1.pptx		Según la Ley 2/1964, ¿cuál de las siguientes es una atribución profesional de los Ingenieros de Telecomunicación?	"{""correct"": ""La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero."", ""distractors"": [""La redacción de proyectos de arquitectura civil para viviendas residenciales."", ""La realización automática de auditorías médicas sin formación adicional."", ""La firma exclusiva de proyectos de ingeniería química industrial.""], ""explanation"": ""El Artículo 2.1.b de la Ley 2/1964 incluye la dirección de las actividades objeto de los proyectos, incluso cuando hubieren sido elaborados por un tercero (Slide 16).""}"	0.35	0.8	1.0	0.2	La pregunta es clara y evalúa correctamente la normativa legal, aunque los distractores son demasiado obvios al referirse a campos profesionales totalmente ajenos a las telecomunicaciones.	True	openrouter::google/gemini-3-flash-preview	Según la Ley 2/1964, ¿cuál de las siguientes es una atribución profesional de los Ingenieros de Telecomunicación?	"{""correct"": ""La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero"", ""distractors"": [""La inspección técnica de las instalaciones eléctricas de alta tensión en el sector de la gran industria metalúrgica"", ""La redacción de proyectos integrales de edificación urbana destinados al uso principal de viviendas residenciales"", ""La gestión administrativa de los expedientes de contratación pública para la adquisición de equipos médicos especializados""], ""explanation"": """"}"	0.65	0.8	1.0	0.85	La pregunta evalúa con precisión una competencia legal específica de la profesión, usando distractores muy plausibles correspondientes a otras ramas de ingeniería.	True	openrouter::google/gemini-3-flash-preview	Según la Ley 2/1964, ¿cuál de las siguientes es una atribución profesional de los Ingenieros de Telecomunicación?	"{""correct"": ""La dirección de las actividades objeto de los proyectos, incluso cuando estos hubieren sido elaborados por un tercero"", ""distractors"": [""La inspección técnica de las instalaciones eléctricas de alta tensión en el sector de la gran industria metalúrgica"", ""La redacción de proyectos integrales de edificación urbana destinados al uso principal de viviendas residenciales"", ""La gestión administrativa de los expedientes de contratación pública para la adquisición de equipos médicos especializados""], ""explanation"": """"}"	modified	0	244	0.0000	0.7284	unchanged	0	0	0.0000	0.0000		
