question_id	source_material	image_reference	generated_text	generated_answers_json	generated_eval_difficulty	generated_eval_pedagogy	generated_eval_clarity	generated_eval_distractors	generated_eval_comments	generated_eval_guessed_correctly	reviewed_text	reviewed_answers_json	reviewed_eval_difficulty	reviewed_eval_pedagogy	reviewed_eval_clarity	reviewed_eval_distractors	reviewed_eval_comments	reviewed_eval_guessed_correctly	final_text	final_answers_json	changes_gen_rev_status	changes_gen_rev_lev_question	changes_gen_rev_lev_answers	changes_gen_rev_rel_lev_question	changes_gen_rev_rel_lev_answers	changes_rev_man_status	changes_rev_man_lev_question	changes_rev_man_lev_answers	changes_rev_man_rel_lev_question	changes_rev_man_rel_lev_answers
GP_Tema4_23021939	GP_Tema4.pdf		Segons el text, és cert que la recerca de feina ha de començar per la redacció d’un bon CV?	"{""correct"": ""No, primer cal conèixer l’empresa, el lloc, les necessitats i les prioritats abans de fer el CV."", ""distractors"": [""Sí, el text afirma que un bon CV és la millor eina i el primer pas indispensable."", ""Sí, però només si l'oferta és per a una empresa multinacional."", ""No, el primer pas és sempre enviar cartes de presentació genèriques sense CV.""], ""explanation"": """"}"	0.5	0.8	0.9	0.7	The question effectively assesses critical reading and understanding of implied advice on job searching, with plausible distractors that require careful text interpretation.	True	Segons el text, és cert que la recerca de feina ha de començar per la redacció d’un bon CV?	"{""correct"": ""No, inicialment és important conèixer l’empresa, el lloc, les necessitats i les prioritats abans de redactar el CV"", ""distractors"": [""Sí, el text indica que un bon CV és la millor eina i el primer pas essencial"", ""Sí, tot i que això només s'aplica si l'oferta és per a una empresa de gran envergadura"", ""No, el primer pas consisteix sempre en l'enviament de cartes de presentació que no van acompanyades de CV""], ""explanation"": """"}"	0.5	0.8	0.9	0.7	The question effectively assesses understanding of job search priorities, though the correct answer makes a specific claim that would need to be supported by a text not provided, making it an educated guess rather than a direct textual inference.	True	És cert que la recerca de feina ha de començar per la redacció d’un bon CV?	"{""correct"": ""No, inicialment és important conèixer l’empresa, el lloc, les necessitats i les prioritats abans de redactar el CV"", ""distractors"": [""No, el primer pas consisteix sempre en l'enviament de cartes de presentació que no van acompanyades de CV"", ""Sí, tot i que això només s'aplica si l'oferta és per a una empresa de gran envergadura"", ""Sí, un bon CV és la millor eina i el primer pas essencial""], ""explanation"": """"}"	modified	0	122	0.0000	0.3824	modified	17	19	0.1868	0.0495
GP_Tema4_12204118	GP_Tema4.pdf		Quina estratègia es recomana al text quan es contesta a una oferta de treball específica?	"{""correct"": ""Enviar un CV i una carta de presentació fets a mida per a l'oferta."", ""distractors"": [""Enviar un CV genèric i una carta de presentació a mida."", ""Enviar un CV a mida i una carta de presentació genèrica."", ""Enviar tant el CV com la carta de presentació genèrics per maximitzar l'eficiència.""], ""explanation"": """"}"	0.3	0.8	0.9	0.7	The question is clear and assesses a practical, important concept for job applications, with plausible distractors that represent common-but-less-effective strategies.	True	Quina estratègia es recomana al text quan es contesta a una oferta de treball específica?	"{""correct"": ""Enviar un CV i una carta de presentació fets a mida per a l'oferta"", ""distractors"": [""Enviar un CV genèric i una carta de presentació a mida"", ""Enviar un CV a mida i una carta de presentació genèrica"", ""Enviar tant el CV com la carta de presentació genèrics per maximitzar l'eficiència""], ""explanation"": """"}"	0.3	0.8	0.9	0.7	The question is clear and assesses a crucial professional skill, with plausible distractors that represent common, less effective approaches.	True	Quina estratègia es recomana al text quan es contesta a una oferta de treball específica?	"{""correct"": ""Enviar un CV i una carta de presentació fets a mida per a l'oferta"", ""distractors"": [""Enviar tant el CV com la carta de presentació genèrics per maximitzar l'eficiència"", ""Enviar un CV a mida i una carta de presentació genèrica"", ""Enviar un CV genèric i una carta de presentació a mida""], ""explanation"": """"}"	modified	0	4	0.0000	0.0152	unchanged	0	0	0.0000	0.0000
GP_Tema4_26899833	GP_Tema4.pdf		Per quina raó fonamental és important obtindre informació sobre l'empresa objectiu abans de l'entrevista?	"{""correct"": ""Per a adaptar el CV, preparar bones preguntes i entendre millor les necessitats durant l'entrevista."", ""distractors"": [""Per a poder criticar els punts febles de l'empresa davant de l'entrevistador."", ""Per a calcular exactament el temps de desplaçament a l'oficina sense importar el lloc de treball."", ""Per a saber si l'empresa té servei de menjador abans d'acceptar l'entrevista.""], ""explanation"": """"}"	0.2	0.8	1.0	0.7	The question is clear and assesses a crucial aspect of interview preparation, with moderately plausible distractors that highlight common misconceptions.	True	Per quina raó fonamental és important obtenir informació sobre l'empresa objectiu abans de l'entrevista?	"{""correct"": ""Per a adaptar el currículum, preparar preguntes rellevants i comprendre les necessitats del rol"", ""distractors"": [""Per a criticar els punts febles de l'empresa davant de l'entrevistador"", ""Per a determinar exclusivament el temps de desplaçament a l'oficina"", ""Per a saber si l'empresa ofereix servei de menjador abans d'acceptar la posició""], ""explanation"": """"}"	0.2	0.8	0.9	0.7	The question is clear and assesses a fundamental aspect of interview preparation, with plausible distractors that represent common misunderstandings or trivial concerns.	True	Per quina raó fonamental és important obtenir informació sobre l'empresa objectiu abans de l'entrevista?	"{""correct"": ""Per a adaptar el currículum, preparar preguntes rellevants i comprendre les necessitats del rol"", ""distractors"": [""Per a saber si l'empresa ofereix servei de menjador abans d'acceptar la posició"", ""Per a determinar exclusivament el temps de desplaçament a l'oficina"", ""Per a criticar els punts febles de l'empresa davant de l'entrevistador""], ""explanation"": """"}"	modified	3	125	0.0286	0.3531	unchanged	0	0	0.0000	0.0000
GP_Tema4_76969042	GP_Tema4.pdf		Segons els consells sobre negociació salarial, quin és el moment idoni per a tractar el tema del sou?	"{""correct"": ""Cal intentar retardar-la al final de l'entrevista, quan l'empresa haja decidit contractar-nos."", ""distractors"": [""S'ha de mencionar sempre a la carta de presentació o al principi de l'entrevista."", ""És millor tractar-ho immediatament després de les preguntes sobre formació acadèmica."", ""Mai s'ha de negociar; s'ha d'acceptar la primera xifra que oferisca l'empresa.""], ""explanation"": """"}"	0.5	0.8	0.9	0.7	The question effectively assesses practical knowledge about salary negotiation timing, and the distractors offer plausible but incorrect approaches, making it moderately difficult and valuable.	True	Segons els consells sobre negociació salarial, quin és el moment més estratègic per tractar el tema del sou?	"{""correct"": ""Cal intentar negociar-ho al final de l'entrevista, una vegada l'empresa ja ha mostrat interès en contractar-nos"", ""distractors"": [""S'ha de mencionar a la carta de presentació o al principi de l'entrevista per ser transparent"", ""És millor tractar aquest assumpte immediatament després de les preguntes sobre la formació acadèmica"", ""No s'ha de negociar el sou; s'ha d'acceptar la primera xifra que l'empresa oferisca sempre""], ""explanation"": """"}"	0.3	0.8	0.9	0.7	The question effectively assesses a practical and important skill for university students, with clear language and plausible, though not overly strong, distractors.	True	Segons els consells sobre negociació salarial, quin és el moment més estratègic per tractar el tema del sou?	"{""correct"": ""Cal intentar negociar-ho al final de l'entrevista, una vegada l'empresa ja ha mostrat interès en contractar-nos"", ""distractors"": [""No s'ha de negociar el sou; s'ha d'acceptar la primera xifra que l'empresa oferisca sempre"", ""És millor tractar aquest assumpte immediatament després de les preguntes sobre la formació acadèmica"", ""S'ha de mencionar a la carta de presentació o al principi de l'entrevista per ser transparent""], ""explanation"": """"}"	modified	15	108	0.1485	0.3167	unchanged	0	0	0.0000	0.0000
GP_Tema4_55213355	GP_Tema4.pdf		Quina és la característica principal de la responsabilitat de l'empresari individual (autònom) respecte als deutes de l'empresa?	"{""correct"": ""Té responsabilitat il·limitada, responent amb tots els béns personals presents i futurs."", ""distractors"": [""Té responsabilitat limitada exclusivament al capital inicialment aportat al negoci."", ""No té cap responsabilitat personal; només responen els actius del negoci."", ""La responsabilitat és compartida subsidiàriament amb l'Estat en cas de fallida.""], ""explanation"": """"}"	0.5	0.9	1.0	0.8	This question effectively assesses a core concept in business law with clear options and plausible distractors, making it a good pedagogical tool of medium difficulty.	True	Quina és la característica principal de la responsabilitat de l'empresari individual (autònom) respecte als deutes de l'empresa?	"{""correct"": ""La responsabilitat és il·limitada, responent amb tots els béns personals presents i futurs"", ""distractors"": [""La responsabilitat és limitada exclusivament al capital inicialment aportat"", ""No té cap responsabilitat personal; només responen els actius del negoci"", ""La responsabilitat és compartida subsidiàriament amb l'Estat""], ""explanation"": """"}"	0.5	0.9	1.0	0.8	This question effectively assesses a core concept in business law with clear language and plausible distractors, making it a good pedagogical tool.	True	Quina és la característica principal de la responsabilitat de l'empresari individual (autònom) respecte als deutes de l'empresa?	"{""correct"": ""La responsabilitat és il·limitada, responent amb tots els béns personals presents i futurs"", ""distractors"": [""La responsabilitat és compartida subsidiàriament amb l'Estat"", ""No té cap responsabilitat personal; només responen els actius del negoci"", ""La responsabilitat és limitada exclusivament al capital inicialment aportat""], ""explanation"": """"}"	modified	0	42	0.0000	0.1288	unchanged	0	0	0.0000	0.0000
GP_Tema4_08413558	GP_Tema4.pdf		Quina diferència fiscal destaca el text entre l'empresari individual i una societat (com la S.A. o S.L.)?	"{""correct"": ""L'empresari individual tributa per IRPF (tipus progressiu) i la societat per l'Impost de Societats (tipus fix)."", ""distractors"": [""L'empresari individual tributa per l'Impost de Societats i la societat per IRPF."", ""L'empresari individual està exempt d'impostos els primers 5 anys, a diferència de les societats."", ""Les societats paguen un tipus impositiu que pot arribar al 52% mentre que l'autònom paga sempre un 25%.""], ""explanation"": """"}"	0.5	0.9	0.9	0.8	The question effectively assesses a core difference in taxation for business entities, with clear options and plausible distractors that test specific knowledge of tax structures.	True	Quina diferència fiscal fonamental hi ha entre un empresari individual i una societat (com una S.A. o S.L.)?	"{""correct"": ""L'empresari individual tributa per IRPF amb un tipus progressiu, mentre que la societat ho fa per l'Impost de Societats amb un tipus fix"", ""distractors"": [""L'empresari individual tributa per l'Impost de Societats i la societat per IRPF"", ""L'empresari individual està exempt d'impostos els primers cinc anys, a diferència de les societats"", ""Les societats paguen un tipus impositiu que podria ser del 52% mentre que l'autònom sempre paga un 25%""], ""explanation"": """"}"	0.5	0.9	1.0	0.8	The question effectively assesses a core concept in tax law with clear options and plausible distractors, making it moderately difficult but highly valuable.	True	Quina diferència fiscal fonamental hi ha entre un empresari individual i una societat (com una S.A. o S.L.)?	"{""correct"": ""L'empresari individual tributa per IRPF amb un tipus progressiu, mentre que la societat ho fa per l'Impost de Societats amb un tipus fix"", ""distractors"": [""Les societats paguen un tipus impositiu que podria ser del 52% mentre que l'autònom sempre paga un 25%"", ""L'empresari individual està exempt d'impostos els primers cinc anys, a diferència de les societats"", ""L'empresari individual tributa per l'Impost de Societats i la societat per IRPF""], ""explanation"": """"}"	modified	19	60	0.1810	0.1527	unchanged	0	0	0.0000	0.0000
GP_Tema4_43704379	GP_Tema4.pdf		Entre d'altres utilitats, per a què serveix un Pla de Negoci segons el document?	"{""correct"": ""Com a carta de presentació per a la captació de capital davant possibles inversors."", ""distractors"": [""Per a garantir que l'empresa tindrà beneficis des del primer mes sense risc."", ""Per a substituir els tràmits legals de constitució de l'empresa davant el notari."", ""Per a evitar haver de pagar les quotes de la Seguretat Social durant l'inici de l'activitat.""], ""explanation"": """"}"	0.5	0.8	0.9	0.7	The question effectively assesses understanding of a business plan's purpose, with clear wording and reasonably plausible distractors, though some are quite obviously incorrect.	True	Entre d'altres utilitats, per a què serveix un Pla de Negoci?	"{""correct"": ""Com a carta de presentació per a la captació de capital davant possibles inversors"", ""distractors"": [""Per a assegurar beneficis immediats i eliminar qualsevol risc empresarial"", ""Per a reemplaçar els procediments legals de constitució de l'empresa"", ""Per a eximir-se del pagament de les quotes de la Seguretat Social al començament de l'activitat""], ""explanation"": """"}"	0.5	0.8	0.9	0.7	The question effectively assesses understanding of a business plan's core purpose, with clear language and plausible distractors that represent common misconceptions.	True	Entre d'altres utilitats, per a què serveix un Pla de Negoci?	"{""correct"": ""Com a carta de presentació per a la captació de capital davant possibles inversors"", ""distractors"": [""Per a eximir-se del pagament de les quotes de la Seguretat Social al començament de l'activitat"", ""Per a reemplaçar els procediments legals de constitució de l'empresa"", ""Per a assegurar beneficis immediats i eliminar qualsevol risc empresarial""], ""explanation"": """"}"	modified	19	122	0.2375	0.3642	unchanged	0	0	0.0000	0.0000
GP_Tema4_00363653	GP_Tema4.pdf		Dins de la carrera investigadora, quina és la durada típica estimada per a l'etapa de doctorat segons el text?	"{""correct"": ""De 3 a 4 anys."", ""distractors"": [""De 6 a 12 mesos."", ""De 1 a 2 anys."", ""Indefinida, fins que es jubila l'investigador.""], ""explanation"": """"}"	0.3	0.6	0.9	0.7	The question is clear and assesses a specific factual detail, with plausible distractors, though its difficulty depends entirely on prior exposure to the specific text referenced.		Dins de la carrera investigadora, quina és la durada típica estimada per a l'etapa de doctorat segons el text?	"{""correct"": ""De 3 a 4 anys"", ""distractors"": [""De 6 a 12 mesos"", ""De 1 a 2 anys"", ""Més de 5 anys""], ""explanation"": """"}"	0.3	0.5	0.9	0.7	The question is clear and the distractors are reasonably plausible for someone unfamiliar with typical PhD durations, making it a fair assessment of factual recall.		Dins de la carrera investigadora, quina és la durada típica estimada per a l'etapa de doctorat?	"{""correct"": ""De 3 a 4 anys"", ""distractors"": [""Més de 5 anys"", ""De 1 a 2 anys"", ""De 6 a 12 mesos""], ""explanation"": """"}"	modified	0	41	0.0000	0.4409	modified	15	0	0.1364	0.0000
GP_Tema4_52121714	GP_Tema4.pdf		Com es defineix l'índex d'impacte d'una revista científica?	"{""correct"": ""És la ràtio entre el nombre de cites que té la revista i el nombre de publicacions."", ""distractors"": [""És el nombre total d'articles que publica la revista cada any."", ""És la quantitat d'anuncis comercials que conté la revista."", ""És el nombre de subscriptors de pagament que té la revista.""], ""explanation"": """"}"	0.5	0.8	0.9	0.6	The question is clear and assesses a fundamental concept in academic evaluation, but some distractors are overtly incorrect, reducing their plausibility.	True	Com es defineix l'índex d'impacte d'una revista científica?	"{""correct"": ""Mesura la ràtio entre les cites rebudes i els articles publicats en un període determinat"", ""distractors"": [""Indica el total d'articles publicats per la revista durant un any fiscal"", ""Representa la quantitat d'anuncis comercials inclosos en cada edició de la revista"", ""Determina el nombre de subscripcions de pagament actives que posseeix la revista""], ""explanation"": """"}"	0.5	0.8	1.0	0.7	The question clearly assesses a key concept in academic publishing, with a reasonable difficulty and plausible distractors that test specific knowledge of the impact factor definition.	True	Com es defineix l'índex d'impacte d'una revista científica?	"{""correct"": ""Mesura la ràtio entre les cites rebudes i els articles publicats en un període determinat"", ""distractors"": [""Determina el nombre de subscripcions de pagament actives que posseeix la revista"", ""Representa la quantitat d'anuncis comercials inclosos en cada edició de la revista"", ""Indica el total d'articles publicats per la revista durant un any fiscal""], ""explanation"": """"}"	modified	0	151	0.0000	0.5698	unchanged	0	0	0.0000	0.0000
GP_Tema4_15052573	GP_Tema4.pdf		En el marc de 'Horizon Europe', quina característica tenen els projectes del European Research Council (ERC)?	"{""correct"": ""Els sol·licita un únic investigador i tenen convocatòries segons l'etapa (Starting, Consolidator, Advanced)."", ""distractors"": [""Els sol·liciten equips de recerca d'almenys tres països diferents obligatòriament."", ""Són projectes exclusius per a empreses que busquen innovació tecnològica immediata."", ""Són ajudes destinades exclusivament a la mobilitat predoctoral (beques d'intercanvi).""], ""explanation"": """"}"	0.5	0.8	0.9	0.7	The question effectively assesses knowledge about ERC project characteristics within Horizon Europe, with plausible distractors, though some are less relevant to academic research funding.	True	En el marc de 'Horizon Europe', quina característica tenen els projectes de l'European Research Council (ERC)?	"{""correct"": ""Els sol·licita un únic investigador i tenen convocatòries segons l'etapa (Starting, Consolidator, Advanced)"", ""distractors"": [""Els sol·liciten equips de recerca d'almenys tres països diferents"", ""Són projectes orientats a empreses que busquen innovació tecnològica immediata"", ""Són ajudes destinades principalment a la mobilitat predoctoral""], ""explanation"": """"}"	0.6	0.8	0.9	0.7	The question is clear and assesses knowledge about ERC grants within Horizon Europe, with plausible distractors that relate to other types of funding or programs.	True	En el marc de 'Horizon Europe', quina característica tenen els projectes de l'European Research Council (ERC)?	"{""correct"": ""Els sol·licita un únic investigador i tenen convocatòries segons l'etapa (Starting, Consolidator, Advanced)"", ""distractors"": [""Són ajudes destinades principalment a la mobilitat predoctoral"", ""Són projectes orientats a empreses que busquen innovació tecnològica immediata"", ""Els sol·liciten equips de recerca d'almenys tres països diferents""], ""explanation"": """"}"	modified	2	62	0.0183	0.1717	unchanged	0	0	0.0000	0.0000
